"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"ASN00009021","PERTH AIRPORT, AS","1971-01-01","1.3","23.9","19.0"
"ASN00009021","PERTH AIRPORT, AS","1971-01-02","0.0","24.4","12.3"
"ASN00009021","PERTH AIRPORT, AS","1971-01-03","0.0","23.9","13.3"
"ASN00009021","PERTH AIRPORT, AS","1971-01-04","0.0","23.3","12.1"
"ASN00009021","PERTH AIRPORT, AS","1971-01-05","0.0","24.7","14.1"
"ASN00009021","PERTH AIRPORT, AS","1971-01-06","0.0","25.3","12.2"
"ASN00009021","PERTH AIRPORT, AS","1971-01-07","0.0","23.7","13.8"
"ASN00009021","PERTH AIRPORT, AS","1971-01-08","3.6","23.5","14.9"
"ASN00009021","PERTH AIRPORT, AS","1971-01-09","0.0","25.1","10.9"
"ASN00009021","PERTH AIRPORT, AS","1971-01-10","0.0","23.9","16.4"
"ASN00009021","PERTH AIRPORT, AS","1971-01-11","0.0","26.3","13.4"
"ASN00009021","PERTH AIRPORT, AS","1971-01-12","0.0","29.3","13.3"
"ASN00009021","PERTH AIRPORT, AS","1971-01-13","0.0","25.8","13.3"
"ASN00009021","PERTH AIRPORT, AS","1971-01-14","0.0","25.6","11.8"
"ASN00009021","PERTH AIRPORT, AS","1971-01-15","0.0","27.3","11.3"
"ASN00009021","PERTH AIRPORT, AS","1971-01-16","0.0","32.0","16.8"
"ASN00009021","PERTH AIRPORT, AS","1971-01-17","0.0","38.6","19.1"
"ASN00009021","PERTH AIRPORT, AS","1971-01-18","2.5","24.7","19.7"
"ASN00009021","PERTH AIRPORT, AS","1971-01-19","0.0","30.0","13.6"
"ASN00009021","PERTH AIRPORT, AS","1971-01-20","0.0","33.3","17.0"
"ASN00009021","PERTH AIRPORT, AS","1971-01-21","0.8","40.3","23.9"
"ASN00009021","PERTH AIRPORT, AS","1971-01-22","0.0","41.0","26.8"
"ASN00009021","PERTH AIRPORT, AS","1971-01-23","0.0","29.1","20.6"
"ASN00009021","PERTH AIRPORT, AS","1971-01-24","0.0","32.6","16.7"
"ASN00009021","PERTH AIRPORT, AS","1971-01-25","0.0","31.2","16.9"
"ASN00009021","PERTH AIRPORT, AS","1971-01-26","0.0","29.9","16.8"
"ASN00009021","PERTH AIRPORT, AS","1971-01-27","0.0","35.0","21.3"
"ASN00009021","PERTH AIRPORT, AS","1971-01-28","0.0","34.9","21.3"
"ASN00009021","PERTH AIRPORT, AS","1971-01-29","0.0","35.1","25.3"
"ASN00009021","PERTH AIRPORT, AS","1971-01-30","0.0","35.5","25.7"
"ASN00009021","PERTH AIRPORT, AS","1971-01-31","9.4","31.7","23.1"
"ASN00009021","PERTH AIRPORT, AS","1971-02-01","0.3","35.0","21.8"
"ASN00009021","PERTH AIRPORT, AS","1971-02-02","0.0","39.0","24.5"
"ASN00009021","PERTH AIRPORT, AS","1971-02-03","0.0","35.2","22.1"
"ASN00009021","PERTH AIRPORT, AS","1971-02-04","0.0","31.3","21.1"
"ASN00009021","PERTH AIRPORT, AS","1971-02-05","6.6","28.3","20.7"
