"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"ASN00009021","PERTH AIRPORT, AS","2013-07-02","0.0","21.6","2.2"
"ASN00009021","PERTH AIRPORT, AS","2013-07-03","3.0","17.4","9.4"
"ASN00009021","PERTH AIRPORT, AS","2013-07-04","1.0","17.3","3.9"
"ASN00009021","PERTH AIRPORT, AS","2013-07-05","0.0","17.6","3.8"
"ASN00009021","PERTH AIRPORT, AS","2013-07-06","0.0","17.0","4.8"
"ASN00009021","PERTH AIRPORT, AS","2013-07-07","0.0","16.7","3.7"
"ASN00009021","PERTH AIRPORT, AS","2013-07-08","0.0","18.5","2.5"
"ASN00009021","PERTH AIRPORT, AS","2013-07-09","0.0","19.6","3.4"
"ASN00009021","PERTH AIRPORT, AS","2013-07-10","25.4","19.5","8.5"
"ASN00009021","PERTH AIRPORT, AS","2013-07-11","0.0","15.0","7.0"
"ASN00009021","PERTH AIRPORT, AS","2013-07-12","2.2","19.4","9.9"
"ASN00009021","PERTH AIRPORT, AS","2013-07-13","0.0","20.9","5.6"
"ASN00009021","PERTH AIRPORT, AS","2013-07-14","0.6","20.4","9.6"
"ASN00009021","PERTH AIRPORT, AS","2013-07-15","0.0","22.2","11.2"
"ASN00009021","PERTH AIRPORT, AS","2013-07-16","10.4","18.0","11.9"
"ASN00009021","PERTH AIRPORT, AS","2013-07-17","12.2","15.0","8.7"
"ASN00009021","PERTH AIRPORT, AS","2013-07-18","0.0","16.1","-0.3"
"ASN00009021","PERTH AIRPORT, AS","2013-07-19","0.0","16.6","3.5"
"ASN00009021","PERTH AIRPORT, AS","2013-07-20","0.0","16.4","1.6"
"ASN00009021","PERTH AIRPORT, AS","2013-07-21","0.0","16.0","0.9"
"ASN00009021","PERTH AIRPORT, AS","2013-07-22","0.0","18.7","5.5"
"ASN00009021","PERTH AIRPORT, AS","2013-07-23","0.0","23.5","7.5"
"ASN00009021","PERTH AIRPORT, AS","2013-07-24","16.0","19.2","11.7"
"ASN00009021","PERTH AIRPORT, AS","2013-07-25","2.4","21.2","9.8"
"ASN00009021","PERTH AIRPORT, AS","2013-07-26","17.0","17.1","12.6"
"ASN00009021","PERTH AIRPORT, AS","2013-07-27","19.4","18.8","7.9"
"ASN00009021","PERTH AIRPORT, AS","2013-07-28","2.4","19.3","8.1"
"ASN00009021","PERTH AIRPORT, AS","2013-07-29","0.0","18.2","6.5"
"ASN00009021","PERTH AIRPORT, AS","2013-07-30","0.8","20.2","8.2"
"ASN00009021","PERTH AIRPORT, AS","2013-07-31","6.4","19.9","11.5"
"ASN00009021","PERTH AIRPORT, AS","2013-08-01","1.0","20.9","12.1"
"ASN00009021","PERTH AIRPORT, AS","2013-08-02","0.0","20.6","7.4"
"ASN00009021","PERTH AIRPORT, AS","2013-08-03","0.0","21.4","7.8"
"ASN00009021","PERTH AIRPORT, AS","2013-08-04","0.0","22.7","7.0"
"ASN00009021","PERTH AIRPORT, AS","2013-08-05","5.0","22.2","13.2"
"ASN00009021","PERTH AIRPORT, AS","2013-08-06","15.8","21.8","14.9"
"ASN00009021","PERTH AIRPORT, AS","2013-08-07","2.8","22.1","16.6"
"ASN00009021","PERTH AIRPORT, AS","2013-08-08","35.4","17.8","15.7"
