Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","2","Afghanistan","5609","Import Quantity","1057","Chickens","2019","2019","1000 Head","5600","R","Estimated data using trading partners database"
"TCL","Crops and livestock products","2","Afghanistan","5610","Import Quantity","1057","Chickens","2019","2019","tonnes","0","","Official data"
"TCL","Crops and livestock products","2","Afghanistan","5622","Import Value","1057","Chickens","2019","2019","1000 US$","5736","R","Estimated data using trading partners database"
"TCL","Crops and livestock products","3","Albania","5609","Import Quantity","1057","Chickens","2019","2019","1000 Head","7829","R","Estimated data using trading partners database"
"TCL","Crops and livestock products","3","Albania","5610","Import Quantity","1057","Chickens","2019","2019","tonnes","1721","","Official data"
"TCL","Crops and livestock products","3","Albania","5622","Import Value","1057","Chickens","2019","2019","1000 US$","5827","R","Estimated data using trading partners database"
"TCL","Crops and livestock products","4","Algeria","5609","Import Quantity","1057","Chickens","2019","2019","1000 Head","7183","R","Estimated data using trading partners database"
"TCL","Crops and livestock products","4","Algeria","5610","Import Quantity","1057","Chickens","2019","2019","tonnes","295","","Official data"
"TCL","Crops and livestock products","4","Algeria","5622","Import Value","1057","Chickens","2019","2019","1000 US$","32632","R","Estimated data using trading partners database"
"TCL","Crops and livestock products","4","Algeria","5909","Export Quantity","1057","Chickens","2019","2019","1000 Head","0","*","Unofficial figure"
"TCL","Crops and livestock products","4","Algeria","5910","Export Quantity","1057","Chickens","2019","2019","tonnes","0","","Official data"
"TCL","Crops and livestock products","4","Algeria","5922","Export Value","1057","Chickens","2019","2019","1000 US$","0","*","Unofficial figure"
"TCL","Crops and livestock products","7","Angola","5609","Import Quantity","1057","Chickens","2019","2019","1000 Head","28","","Official data"
"TCL","Crops and livestock products","7","Angola","5610","Import Quantity","1057","Chickens","2019","2019","tonnes","24","","Official data"
"TCL","Crops and livestock products","7","Angola","5622","Import Value","1057","Chickens","2019","2019","1000 US$","827","","Official data"
"TCL","Crops and livestock products","7","Angola","5909","Export Quantity","1057","Chickens","2019","2019","1000 Head","3","","Official data"
"TCL","Crops and livestock products","7","Angola","5910","Export Quantity","1057","Chickens","2019","2019","tonnes","3","","Official data"
"TCL","Crops and livestock products","7","Angola","5922","Export Value","1057","Chickens","2019","2019","1000 US$","0","","Official data"
"TCL","Crops and livestock products","8","Antigua and Barbuda","5609","Import Quantity","1057","Chickens","2019","2019","1000 Head","3","","Official data"
"TCL","Crops and livestock products","8","Antigua and Barbuda","5610","Import Quantity","1057","Chickens","2019","2019","tonnes","4","","Official data"
"TCL","Crops and livestock products","8","Antigua and Barbuda","5622","Import Value","1057","Chickens","2019","2019","1000 US$","98","","Official data"
"TCL","Crops and livestock products","8","Antigua and Barbuda","5909","Export Quantity","1057","Chickens","2019","2019","1000 Head","0","","Official data"
"TCL","Crops and livestock products","8","Antigua and Barbuda","5910","Export Quantity","1057","Chickens","2019","2019","tonnes","0","","Official data"
"TCL","Crops and livestock products","8","Antigua and Barbuda","5922","Export Value","1057","Chickens","2019","2019","1000 US$","1","","Official data"
"TCL","Crops and livestock products","9","Argentina","5609","Import Quantity","1057","Chickens","2019","2019","1000 Head","22","","Official data"
"TCL","Crops and livestock products","9","Argentina","5610","Import Quantity","1057","Chickens","2019","2019","tonnes","28","","Official data"
"TCL","Crops and livestock products","9","Argentina","5622","Import Value","1057","Chickens","2019","2019","1000 US$","14597","","Official data"
"TCL","Crops and livestock products","1","Armenia","5609","Import Quantity","1057","Chickens","2019","2019","1000 Head","553","","Official data"
"TCL","Crops and livestock products","1","Armenia","5610","Import Quantity","1057","Chickens","2019","2019","tonnes","640","","Official data"
"TCL","Crops and livestock products","1","Armenia","5622","Import Value","1057","Chickens","2019","2019","1000 US$","4130","","Official data"
"TCL","Crops and livestock products","10","Australia","5909","Export Quantity","1057","Chickens","2019","2019","1000 Head","1246","","Official data"
"TCL","Crops and livestock products","10","Australia","5910","Export Quantity","1057","Chickens","2019","2019","tonnes","0","","Official data"
"TCL","Crops and livestock products","10","Australia","5922","Export Value","1057","Chickens","2019","2019","1000 US$","7688","","Official data"
"TCL","Crops and livestock products","11","Austria","5609","Import Quantity","1057","Chickens","2019","2019","1000 Head","18034","","Official data"
"TCL","Crops and livestock products","11","Austria","5610","Import Quantity","1057","Chickens","2019","2019","tonnes","30614","","Official data"
"TCL","Crops and livestock products","11","Austria","5622","Import Value","1057","Chickens","2019","2019","1000 US$","38936","","Official data"
"TCL","Crops and livestock products","11","Austria","5909","Export Quantity","1057","Chickens","2019","2019","1000 Head","12104","","Official data"
"TCL","Crops and livestock products","11","Austria","5910","Export Quantity","1057","Chickens","2019","2019","tonnes","3209","","Official data"
"TCL","Crops and livestock products","11","Austria","5922","Export Value","1057","Chickens","2019","2019","1000 US$","15765","","Official data"
"TCL","Crops and livestock products","52","Azerbaijan","5609","Import Quantity","1057","Chickens","2019","2019","1000 Head","291","","Official data"
"TCL","Crops and livestock products","52","Azerbaijan","5610","Import Quantity","1057","Chickens","2019","2019","tonnes","313","","Official data"
"TCL","Crops and livestock products","52","Azerbaijan","5622","Import Value","1057","Chickens","2019","2019","1000 US$","4979","","Official data"
"TCL","Crops and livestock products","12","Bahamas","5609","Import Quantity","1057","Chickens","2019","2019","1000 Head","283","*","Unofficial figure"
"TCL","Crops and livestock products","12","Bahamas","5610","Import Quantity","1057","Chickens","2019","2019","tonnes","0","","Official data"
"TCL","Crops and livestock products","12","Bahamas","5622","Import Value","1057","Chickens","2019","2019","1000 US$","219","*","Unofficial figure"
"TCL","Crops and livestock products","13","Bahrain","5609","Import Quantity","1057","Chickens","2019","2019","1000 Head","11","","Official data"
"TCL","Crops and livestock products","13","Bahrain","5610","Import Quantity","1057","Chickens","2019","2019","tonnes","13","","Official data"
