Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"MK","Macro Indicators","2","Afghanistan","6119","Value US$ per capita","22008","Gross Domestic Product","2019","2019","US$","496.940553","X","International reliable sources",""
"MK","Macro Indicators","3","Albania","6119","Value US$ per capita","22008","Gross Domestic Product","2019","2019","US$","5345.602513","X","International reliable sources",""
"MK","Macro Indicators","4","Algeria","6119","Value US$ per capita","22008","Gross Domestic Product","2019","2019","US$","3975.519002","X","International reliable sources",""
"MK","Macro Indicators","6","Andorra","6119","Value US$ per capita","22008","Gross Domestic Product","2019","2019","US$","40900.53859","X","International reliable sources",""
"MK","Macro Indicators","7","Angola","6119","Value US$ per capita","22008","Gross Domestic Product","2019","2019","US$","2809.626403","X","International reliable sources",""
"MK","Macro Indicators","258","Anguilla","6119","Value US$ per capita","22008","Gross Domestic Product","2019","2019","US$","25336.581453","X","International reliable sources",""
"MK","Macro Indicators","8","Antigua and Barbuda","6119","Value US$ per capita","22008","Gross Domestic Product","2019","2019","US$","17376.112907","X","International reliable sources",""
"MK","Macro Indicators","9","Argentina","6119","Value US$ per capita","22008","Gross Domestic Product","2019","2019","US$","9947.264856","X","International reliable sources",""
"MK","Macro Indicators","1","Armenia","6119","Value US$ per capita","22008","Gross Domestic Product","2019","2019","US$","4604.641377","X","International reliable sources",""
"MK","Macro Indicators","22","Aruba","6119","Value US$ per capita","22008","Gross Domestic Product","2019","2019","US$","31136.110954","X","International reliable sources",""
"MK","Macro Indicators","10","Australia","6119","Value US$ per capita","22008","Gross Domestic Product","2019","2019","US$","54763.202388","X","International reliable sources",""
"MK","Macro Indicators","11","Austria","6119","Value US$ per capita","22008","Gross Domestic Product","2019","2019","US$","49693.668783","X","International reliable sources",""
"MK","Macro Indicators","52","Azerbaijan","6119","Value US$ per capita","22008","Gross Domestic Product","2019","2019","US$","4794.54492","X","International reliable sources",""
"MK","Macro Indicators","12","Bahamas","6119","Value US$ per capita","22008","Gross Domestic Product","2019","2019","US$","33799.839641","X","International reliable sources",""
"MK","Macro Indicators","13","Bahrain","6119","Value US$ per capita","22008","Gross Domestic Product","2019","2019","US$","23442.830854","X","International reliable sources",""
